material,unit_qty,total_qty,order#,ip,mtrl_total_qty,cumsumqty,prop,cumsum_prop,orderlimit,unit_qty2,order#2,total_qty2,Var_qty
AC01,6.0,768.0,128.0,6.0,1038.0,768.0,0.7398843930635838,0.7398843930635838,6,6.0,128.0,768.0,0.0
AC01,12.0,48.0,4.0,6.0,1038.0,816.0,0.046242774566473986,0.7861271676300579,6,6.0,5.204119982655925,31.22471989593555,16.77528010406445
AC01,48.0,48.0,1.0,6.0,1038.0,864.0,0.046242774566473986,0.8323699421965318,6,6.0,1.9030899869919435,11.41853992195166,36.58146007804834
AC01,72.0,72.0,1.0,6.0,1038.0,936.0,0.06936416184971098,0.9017341040462428,6,6.0,2.0791812460476247,12.475087476285747,59.52491252371425
AC01,102.0,102.0,1.0,6.0,1038.0,1038.0,0.09826589595375723,1.0,6,6.0,2.230448921378274,13.382693528269645,88.61730647173036
AC01,6.0,768.0,128.0,6.0,1038.0,768.0,0.7398843930635838,0.7398843930635838,12,6.0,128.0,768.0,0.0
AC01,12.0,48.0,4.0,6.0,1038.0,816.0,0.046242774566473986,0.7861271676300579,12,12.0,4.0,48.0,0.0
AC01,48.0,48.0,1.0,6.0,1038.0,864.0,0.046242774566473986,0.8323699421965318,12,12.0,1.6020599913279623,19.224719895935547,28.775280104064453
AC01,72.0,72.0,1.0,6.0,1038.0,936.0,0.06936416184971098,0.9017341040462428,12,12.0,1.7781512503836436,21.337815004603723,50.662184995396274
AC01,102.0,102.0,1.0,6.0,1038.0,1038.0,0.09826589595375723,1.0,12,12.0,1.9294189257142926,23.15302710857151,78.84697289142849
AC01,6.0,768.0,128.0,6.0,1038.0,768.0,0.7398843930635838,0.7398843930635838,18,6.0,128.0,768.0,0.0
AC01,12.0,48.0,4.0,6.0,1038.0,816.0,0.046242774566473986,0.7861271676300579,18,12.0,4.0,48.0,0.0
AC01,48.0,48.0,1.0,6.0,1038.0,864.0,0.046242774566473986,0.8323699421965318,18,18.0,1.4259687322722812,25.66743718090106,22.33256281909894
